Title,Body,Labels,Milestone
"Story: DynamoDB Streams aggregator","Consume Streams to maintain Aggregates (counts by user/area/grade) with idempotent increments.\nAcceptance:\n- Double-processing safe\n- Lag monitored; DLQ configured","Story,Backend,Data,MVP","MVP"
"Story: Stats API","Implement /stats with filters (grade, minGrade, areaKey, date range); prefer aggregates, fallback to GSI queries.\nAcceptance:\n- Input validated; errors clear\n- p95 latency target documented","Story,Backend,API,MVP","MVP"
"Story: Explorer UI","Build filters UI backed by /stats; show counts and quick pivots.\nAcceptance:\n- Empty/loading/error handled\n- Deep-link to filtered views","Story,Frontend,UX,MVP","MVP"
"Story: Query DSL design + guardrails","Define JSON schema for queries and vocab (grades, areas). Reject unsupported fields.\nAcceptance:\n- Schema published in repo\n- Unit tests for validation","Story,Backend,Chat,MVP","MVP"
"Story: NL translator","Translate prompts to DSL via rules/model with strict clamping to vocab.\nAcceptance:\n- Passes a starter test suite\n- Logs original prompt + DSL","Story,Backend,Chat,MVP","MVP"
"Story: Chat endpoint and UI","/chat endpoint executes DSL, returns answer + trace; UI shows conversational result and link to Explorer.\nAcceptance:\n- Handles follow-ups within session\n- Clear errors for unsupported asks","Story,Backend,Frontend,Chat,MVP","MVP"
"Story: Test corpus","Create ~30 prompts covering grade/area/date variants with expected answers.\nAcceptance:\n- Runs in CI\n- Easy to extend","Story,QA,Chat,MVP","MVP"
"Story: Load test import","Generate 1M+ synthetic ticks; measure throughput, cost, and error rates.\nAcceptance:\n- Report checked into repo\n- Alarms validated under load","Story,Reliability,Performance,MVP","MVP"
"Story: Throttle and retry policies","Tune Lambda concurrency, SQS visibility timeouts, and DDB capacity; implement retries/backoff.\nAcceptance:\n- No sustained DDB throttles\n- Backpressure observed, not dropped","Story,Reliability,Backend,MVP","MVP"
"Story: Error surfacing","Job report shows sample bad rows and downloadable error CSV; API exposes error counts.\nAcceptance:\n- Clear user messaging\n- Quarantine bucket secured","Story,UX,Backend,MVP","MVP"
"Story: Caching hot queries","Cache frequent /stats results with TTL; document cache invalidation behavior.\nAcceptance:\n- p95 improved on repeats\n- Stale-while-revalidate noted","Story,Backend,Performance,MVP","MVP"
"Story: MSK cluster + topics","Provision MSK and create topics (tick-ingested, aggregates). Publish ingestion events.\nAcceptance:\n- IaC-managed; topic ACLs set\n- Producer confirmed","Story,Streaming,Infra,Phase2","Phase2"
"Story: Stream processor service on EKS","Deploy a consumer on EKS (Helm) to maintain aggregates; add HPA and liveness/readiness probes.\nAcceptance:\n- Zero-downtime rollout\n- Autoscaling under load","Story,Streaming,Kubernetes,Phase2","Phase2"
"Story: Replay/backfill","Support replaying topics to rebuild aggregates without downtime.\nAcceptance:\n- Deterministic results after replay\n- Runbook documented","Story,Streaming,Data,Phase2","Phase2"
"Story: Chaos test","Induce failures (kill pod, network blip); verify no data loss and recovery.\nAcceptance:\n- Lag recovers to baseline\n- Alerts fire appropriately","Story,Reliability,Kubernetes,Phase2","Phase2"
"Story: IAM least-privilege review","Tighten IAM roles/policies; constrain resource policies and add Access Analyzer checks.\nAcceptance:\n- Analyzer clean\n- Only required actions allowed","Story,Security,Infra,MVP","MVP"
"Story: Cost guardrails","Set budgets/alerts; note DDB On-Demand vs Provisioned thresholds and MSK/EKS cost notes.\nAcceptance:\n- Budget alerts firing test\n- Cost README updated","Story,Security,Cost,MVP","MVP"
"Story: Runbooks and ADRs","Write runbooks (imports, DLQ drain, replay) and ADRs for key decisions (serverless-first, DDB schema, DSL).\nAcceptance:\n- Docs reviewed\n- Linked in repo README","Story,Docs,Reliability,MVP","MVP"
